"序號","分類","教材名稱","標準網頁檔名","相對路徑","線上瀏覽網址","收錄範圍/頁碼","收錄成語數","收錄成語精選預覽"
18,"七下 練習神器","[七下] 成語週考第17回 p.145-p.153 練功坊練習神器 線上練習神器","idiom-quiz-17.html","idiom-practice/idiom-quiz-17.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-17.html","p.145-p.153",50,"言歸正傳、言簡意賅、言聽計從、赤子之心、赤手空拳、走投無路、走馬看花、足不出戶 ...等 50 則"
19,"七下 練習神器","[七下] 成語週考第18回 p.154-p.161 練功坊練習神器 線上練習神器","idiom-quiz-18.html","idiom-practice/idiom-quiz-18.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-18.html","p.154-p.161",46,"固若金湯、夜不閉戶、夜郎自大、夜闌人靜、奉公守法、奄奄一息、姑息養奸、姍姍來遲 ...等 46 則"
20,"七下 練習神器","[七下] 成語週考第19回 p.162-p.169 練功坊練習神器 線上練習神器","idiom-quiz-19.html","idiom-practice/idiom-quiz-19.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-19.html","p.162-p.169",46,"抱恨終天、抱頭鼠竄、抱薪救火、拖泥帶水、易地而處、易如反掌、明日黃花、明知故犯 ...等 46 則"
21,"七下 練習神器","[七下] 成語週考第20回 p.170-p.178 練功坊練習神器 線上練習神器","idiom-quiz-20.html","idiom-practice/idiom-quiz-20.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-20.html","p.170-p.178",50,"玩世不恭、直截了當、知人善任、知己知彼、知足常樂、知命之年、知書達禮、空前絕後 ...等 50 則"
22,"七下 練習神器","[七下] 成語週考第21回 p.179-p.186 練功坊練習神器 線上練習神器","idiom-quiz-21.html","idiom-practice/idiom-quiz-21.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-21.html","p.179-p.186",46,"青黃不接、佶屈聱牙、怙惡不悛、邯鄲學步、亭亭玉立、信口雌黃、信手拈來、信而有徵 ...等 46 則"
23,"七下 練習神器","[七下] 成語週考第22回 p.187-p.194 練功坊練習神器 線上練習神器","idiom-quiz-22.html","idiom-practice/idiom-quiz-22.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-22.html","p.187-p.194",48,"恃強凌弱、按兵不動、按部就班、拭目以待、持之以恆、持盈保泰、指日可待、指桑罵槐 ...等 48 則"
24,"七下 練習神器","[七下] 成語週考第23回 p.195-p.203 練功坊練習神器 線上練習神器","idiom-quiz-23.html","idiom-practice/idiom-quiz-23.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-23.html","p.195-p.203",51,"狡兔三窟、畏首畏尾、畎畝之中、省吃儉用、相形見絀、相得益彰、相提並論、相敬如賓 ...等 51 則"
25,"七下 練習神器","[七下] 成語週考第24回 p.204-p.211 練功坊練習神器 線上練習神器","idiom-quiz-24.html","idiom-practice/idiom-quiz-24.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-24.html","p.204-p.211",48,"風調雨順、風聲鶴唳、飛黃騰達、飛蛾撲火、食古不化、食言而肥、食前方丈、食指大動 ...等 48 則"
26,"八上 練習神器","[八上] 成語週考第25回 p.212-p.219 練功坊練習神器 線上練習神器","idiom-quiz-25.html","idiom-practice/idiom-quiz-25.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-25.html","p.212-p.219",44,"旁若無人、旁敲側擊、旁徵博引、旁觀者清、時不我與、案牘勞形、栩栩如生、格格不入 ...等 44 則"
27,"八上 練習神器","[八上] 成語週考第26回 p.220-p.227 練功坊練習神器 線上練習神器","idiom-quiz-26.html","idiom-practice/idiom-quiz-26.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-26.html","p.220-p.227",44,"秦晉之好、笑容可掬、笑裡藏刀、粉墨登場、素昧平生、紙醉金迷、耿耿於懷、胸有成竹 ...等 44 則"
28,"八上 練習神器","[八上] 成語週考第27回 p.228-p.234 練功坊練習神器 線上練習神器","idiom-quiz-27.html","idiom-practice/idiom-quiz-27.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-27.html","p.228-p.234",38,"鬼斧神工、鬼哭神嚎、鬼迷心竅、鬼鬼祟祟、蚍蜉撼樹、假公濟私、偃旗息鼓、健步如飛 ...等 38 則"
29,"八上 練習神器","[八上] 成語週考第28回 p.235-p.241 練功坊練習神器 線上練習神器","idiom-quiz-28.html","idiom-practice/idiom-quiz-28.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-28.html","p.235-p.241",41,"從容不迫、從容就義、從善如流、患得患失、悠然自得、情不自禁、情之所鍾、情投意合 ...等 41 則"
30,"八上 練習神器","[八上] 成語週考第29回 p.242-p.248 練功坊練習神器 線上練習神器","idiom-quiz-29.html","idiom-practice/idiom-quiz-29.html","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-practice/idiom-quiz-29.html","p.242-p.248",41,"望洋興嘆、望梅止渴、望塵莫及、梁上君子、梧鼠技窮、梅妻鶴子、欲速不達、欲蓋彌彰 ...等 41 則"
