"序號","分類","教材名稱","標準網頁檔名","相對路徑","線上瀏覽網址","收錄範圍/頁碼","收錄成語數","收錄成語精選預覽"
63,"七下 詳解PDF","[七下] 成語週考第16回 p.137-p.144 練功坊練習神器 單回詳解 PDF","idiom-weekly-16.pdf","idiom-pdf/idiom-weekly-16.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-16.pdf","p.137-p.144",46,"第 16 回 完整題目與逐題解析"
64,"七下 詳解PDF","[七下] 成語週考第17回 p.145-p.153 練功坊練習神器 單回詳解 PDF","idiom-weekly-17.pdf","idiom-pdf/idiom-weekly-17.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-17.pdf","p.145-p.153",50,"第 17 回 完整題目與逐題解析"
65,"七下 詳解PDF","[七下] 成語週考第18回 p.154-p.161 練功坊練習神器 單回詳解 PDF","idiom-weekly-18.pdf","idiom-pdf/idiom-weekly-18.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-18.pdf","p.154-p.161",46,"第 18 回 完整題目與逐題解析"
66,"七下 詳解PDF","[七下] 成語週考第19回 p.162-p.169 練功坊練習神器 單回詳解 PDF","idiom-weekly-19.pdf","idiom-pdf/idiom-weekly-19.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-19.pdf","p.162-p.169",46,"第 19 回 完整題目與逐題解析"
67,"七下 詳解PDF","[七下] 成語週考第20回 p.170-p.178 練功坊練習神器 單回詳解 PDF","idiom-weekly-20.pdf","idiom-pdf/idiom-weekly-20.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-20.pdf","p.170-p.178",50,"第 20 回 完整題目與逐題解析"
68,"七下 詳解PDF","[七下] 成語週考第21回 p.179-p.186 練功坊練習神器 單回詳解 PDF","idiom-weekly-21.pdf","idiom-pdf/idiom-weekly-21.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-21.pdf","p.179-p.186",46,"第 21 回 完整題目與逐題解析"
69,"七下 詳解PDF","[七下] 成語週考第22回 p.187-p.194 練功坊練習神器 單回詳解 PDF","idiom-weekly-22.pdf","idiom-pdf/idiom-weekly-22.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-22.pdf","p.187-p.194",48,"第 22 回 完整題目與逐題解析"
70,"七下 詳解PDF","[七下] 成語週考第23回 p.195-p.203 練功坊練習神器 單回詳解 PDF","idiom-weekly-23.pdf","idiom-pdf/idiom-weekly-23.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-23.pdf","p.195-p.203",51,"第 23 回 完整題目與逐題解析"
71,"七下 詳解PDF","[七下] 成語週考第24回 p.204-p.211 練功坊練習神器 單回詳解 PDF","idiom-weekly-24.pdf","idiom-pdf/idiom-weekly-24.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-24.pdf","p.204-p.211",48,"第 24 回 完整題目與逐題解析"
72,"八上 詳解PDF","[八上] 成語週考第25回 p.212-p.219 練功坊練習神器 單回詳解 PDF","idiom-weekly-25.pdf","idiom-pdf/idiom-weekly-25.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-25.pdf","p.212-p.219",44,"第 25 回 完整題目與逐題解析"
73,"八上 詳解PDF","[八上] 成語週考第26回 p.220-p.227 練功坊練習神器 單回詳解 PDF","idiom-weekly-26.pdf","idiom-pdf/idiom-weekly-26.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-26.pdf","p.220-p.227",44,"第 26 回 完整題目與逐題解析"
74,"八上 詳解PDF","[八上] 成語週考第27回 p.228-p.234 練功坊練習神器 單回詳解 PDF","idiom-weekly-27.pdf","idiom-pdf/idiom-weekly-27.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-27.pdf","p.228-p.234",38,"第 27 回 完整題目與逐題解析"
75,"八上 詳解PDF","[八上] 成語週考第28回 p.235-p.241 練功坊練習神器 單回詳解 PDF","idiom-weekly-28.pdf","idiom-pdf/idiom-weekly-28.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-28.pdf","p.235-p.241",41,"第 28 回 完整題目與逐題解析"
76,"八上 詳解PDF","[八上] 成語週考第29回 p.242-p.248 練功坊練習神器 單回詳解 PDF","idiom-weekly-29.pdf","idiom-pdf/idiom-weekly-29.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-29.pdf","p.242-p.248",41,"第 29 回 完整題目與逐題解析"
77,"八上 詳解PDF","[八上] 成語週考第30回 p.249-p.255 練功坊練習神器 單回詳解 PDF","idiom-weekly-30.pdf","idiom-pdf/idiom-weekly-30.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-30.pdf","p.249-p.255",42,"第 30 回 完整題目與逐題解析"
78,"八上 詳解PDF","[八上] 成語週考第31回 p.256-p.262 練功坊練習神器 單回詳解 PDF","idiom-weekly-31.pdf","idiom-pdf/idiom-weekly-31.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-31.pdf","p.256-p.262",41,"第 31 回 完整題目與逐題解析"
79,"八上 詳解PDF","[八上] 成語週考第32回 p.263-p.269 練功坊練習神器 單回詳解 PDF","idiom-weekly-32.pdf","idiom-pdf/idiom-weekly-32.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-32.pdf","p.263-p.269",41,"第 32 回 完整題目與逐題解析"
80,"八上 詳解PDF","[八上] 成語週考第33回 p.270-p.276 練功坊練習神器 單回詳解 PDF","idiom-weekly-33.pdf","idiom-pdf/idiom-weekly-33.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-33.pdf","p.270-p.276",41,"第 33 回 完整題目與逐題解析"
81,"八上 詳解PDF","[八上] 成語週考第34回 p.277-p.283 練功坊練習神器 單回詳解 PDF","idiom-weekly-34.pdf","idiom-pdf/idiom-weekly-34.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-34.pdf","p.277-p.283",42,"第 34 回 完整題目與逐題解析"
82,"八上 詳解PDF","[八上] 成語週考第35回 p.284-p.290 練功坊練習神器 單回詳解 PDF","idiom-weekly-35.pdf","idiom-pdf/idiom-weekly-35.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-35.pdf","p.284-p.290",41,"第 35 回 完整題目與逐題解析"
83,"八上 詳解PDF","[八上] 成語週考第36回 p.291-p.298 練功坊練習神器 單回詳解 PDF","idiom-weekly-36.pdf","idiom-pdf/idiom-weekly-36.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-36.pdf","p.291-p.298",44,"第 36 回 完整題目與逐題解析"
84,"八下 詳解PDF","[八下] 成語週考第37回 p.299-p.306 練功坊練習神器 單回詳解 PDF","idiom-weekly-37.pdf","idiom-pdf/idiom-weekly-37.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-37.pdf","p.299-p.306",45,"第 37 回 完整題目與逐題解析"
85,"八下 詳解PDF","[八下] 成語週考第38回 p.307-p.314 練功坊練習神器 單回詳解 PDF","idiom-weekly-38.pdf","idiom-pdf/idiom-weekly-38.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-38.pdf","p.307-p.314",44,"第 38 回 完整題目與逐題解析"
86,"八下 詳解PDF","[八下] 成語週考第39回 p.315-p.322 練功坊練習神器 單回詳解 PDF","idiom-weekly-39.pdf","idiom-pdf/idiom-weekly-39.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-39.pdf","p.315-p.322",42,"第 39 回 完整題目與逐題解析"
87,"八下 詳解PDF","[八下] 成語週考第40回 p.323-p.330 練功坊練習神器 單回詳解 PDF","idiom-weekly-40.pdf","idiom-pdf/idiom-weekly-40.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-40.pdf","p.323-p.330",45,"第 40 回 完整題目與逐題解析"
88,"八下 詳解PDF","[八下] 成語週考第41回 p.331-p.338 練功坊練習神器 單回詳解 PDF","idiom-weekly-41.pdf","idiom-pdf/idiom-weekly-41.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-41.pdf","p.331-p.338",45,"第 41 回 完整題目與逐題解析"
89,"八下 詳解PDF","[八下] 成語週考第42回 p.339-p.346 練功坊練習神器 單回詳解 PDF","idiom-weekly-42.pdf","idiom-pdf/idiom-weekly-42.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-42.pdf","p.339-p.346",43,"第 42 回 完整題目與逐題解析"
90,"八下 詳解PDF","[八下] 成語週考第43回 p.347-p.354 練功坊練習神器 單回詳解 PDF","idiom-weekly-43.pdf","idiom-pdf/idiom-weekly-43.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-43.pdf","p.347-p.354",42,"第 43 回 完整題目與逐題解析"
91,"八下 詳解PDF","[八下] 成語週考第44回 p.355-p.362 練功坊練習神器 單回詳解 PDF","idiom-weekly-44.pdf","idiom-pdf/idiom-weekly-44.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-44.pdf","p.355-p.362",43,"第 44 回 完整題目與逐題解析"
92,"八下 詳解PDF","[八下] 成語週考第45回 p.363-p.370 練功坊練習神器 單回詳解 PDF","idiom-weekly-45.pdf","idiom-pdf/idiom-weekly-45.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-45.pdf","p.363-p.370",42,"第 45 回 完整題目與逐題解析"
93,"八下 詳解PDF","[八下] 成語週考第46回 p.371-p.377 練功坊練習神器 單回詳解 PDF","idiom-weekly-46.pdf","idiom-pdf/idiom-weekly-46.pdf","https://oaoadna-1313.github.io/2026_new5Didiom/idiom-pdf/idiom-weekly-46.pdf","p.371-p.377",36,"第 46 回 完整題目與逐題解析"
